index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22,issue
4487,406-7730373-1475510,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-L,Set,L,B08XNDL1DL,Cancelled,0,,,AKBARPUR,UTTAR PRADESH,224122.0,IN,,False,,,null_currency; null_amount; 
4488,402-0308777-4906760,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0343,J0343-DR-XL,Western Dress,XL,B0982Z1994,Cancelled,0,,,CHENNAI,TAMIL NADU,600010.0,IN,,False,,,null_currency; null_amount; 
4490,408-0191897-6856342,04-27-22,Cancelled,Amazon,Amazon.in,Standard,J0280,J0280-SKD-S,Set,S,B08QGM7FCC,Cancelled,0,,,INDORE,MADHYA PRADESH,453555.0,IN,,False,,,null_currency; null_amount; 
4496,404-3950427-3560345,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3634,JNE3634-KR-M,kurta,M,B097ZZR31W,Cancelled,0,,,PATNA,BIHAR,800001.0,IN,,False,,,null_currency; null_amount; 
4551,402-7197636-6126717,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-XXL,Set,XXL,B08YNK9K8F,Cancelled,0,,,hyderabad,TELANGANA,500095.0,IN,,False,,,null_currency; null_amount; 
4574,171-3593660-8913903,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET324,SET324-KR-NP-S,Set,S,B09NQ4CZ65,,0,,,CHENNAI,TAMIL NADU,600021.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4598,408-2198230-6301926,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3291,JNE3291-KR-XXXL,kurta,3XL,B07R5XKXL4,Cancelled,0,,,RAJAHMUNDRY,ANDHRA PRADESH,533101.0,IN,,False,,,null_currency; null_amount; 
4627,408-8050084-6879501,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0003,J0003-SET-XL,Set,XL,B0894YFQ5R,,0,,,HOWRAH,WEST BENGAL,711106.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4629,402-3157184-9464340,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0401,J0401-DR-L,Western Dress,L,B09SDXN14H,,0,,,GHAZIABAD,UTTAR PRADESH,201003.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4631,408-4327649-0193141,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0041,J0041-SET-S,Set,S,B089G1JQCK,,0,,,VIJAPURA,KARNATAKA,586101.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4633,408-5203694-8431550,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3794,JNE3794-KR-XXL,kurta,XXL,B09HMS8F1B,,0,,,NEW DELHI,DELHI,110007.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4638,403-8951696-3857961,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-XL,kurta,XL,B082W8B28G,Cancelled,0,,,salem,TAMIL NADU,636004.0,IN,,False,,,null_currency; null_amount; 
4641,171-7459155-7689129,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3795,JNE3795-KR-XL,kurta,XL,B09HMY74F6,,0,,,AHMEDABAD,Gujarat,380015.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4668,405-2013287-1400331,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET374,SET374-KR-NP-XXL,Set,XXL,B09NDKN86H,,0,,,MUMBAI,MAHARASHTRA,400053.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4671,407-8396035-0889955,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0334,J0334-TP-S,Top,S,B0986Y2KBV,Cancelled,0,,,BIDAR,KARNATAKA,585401.0,IN,,False,,,null_currency; null_amount; 
4694,408-3981680-7137930,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3759,JNE3759-KR-XL,kurta,XL,B099FB2C9L,,0,,,GHAZIABAD,UTTAR PRADESH,201013.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4723,408-4184346-1613119,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0198,J0198-TP-XL,Top,XL,B0986YD8K8,Cancelled,0,,,CHENNAI,TAMIL NADU,600034.0,IN,,False,,,null_currency; null_amount; 
4728,403-4906368-6793117,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3761,JNE3761-KR-L,kurta,L,B099NNRTTL,Cancelled,0,,,Koothattukulam,KERALA,686662.0,IN,,False,,,null_currency; null_amount; 
4739,171-8133422-0315562,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3835,JNE3835-KR-L,kurta,L,B09Q3HTDF5,,0,,,MANDI,HIMACHAL PRADESH,175025.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4778,402-5645787-0280310,04-27-22,Cancelled,Merchant,Amazon.in,Standard,BTM031,BTM031-NP-M,Bottom,M,B0845Z8L1L,,0,,,PIMPRI CHINCHWAD,MAHARASHTRA,411017.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4779,402-5645787-0280310,04-27-22,Cancelled,Merchant,Amazon.in,Standard,BTM029,BTM029-NP-M,Bottom,M,B0845QLDCS,,0,,,PIMPRI CHINCHWAD,MAHARASHTRA,411017.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4850,406-7893670-9431524,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET228,SET228-KR-PP-A-M,Set,M,B08P1FGFFG,Cancelled,0,,,MYSURU,KARNATAKA,570008.0,IN,,False,,,null_currency; null_amount; 
4851,405-8998950-4661969,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-XL,Set,XL,B08YN7XDSG,Cancelled,0,,,MUMBAI,MAHARASHTRA,400089.0,IN,,False,,,null_currency; null_amount; 
4852,405-4469364-0924343,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET345,SET345-KR-NP-XL,Set,XL,B09KXWW582,,0,,,MUMBAI,MAHARASHTRA,400089.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4855,406-6877854-2357142,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,,0,,,TIRUPATI,ANDHRA PRADESH,517501.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4878,407-0243146-3961963,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3795,JNE3795-KR-XL,kurta,XL,B09HMY74F6,,0,,,CHENNAI,TAMIL NADU,600080.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4929,406-2343918-5352312,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0096,J0096-KR-XS,kurta,XS,B089FZXRFW,,0,,,CHERTHALA,KERALA,688539.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4939,402-9228360-8117943,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3363,JNE3363-KR-1032-XXL,kurta,XXL,B07T62PKNM,,0,,,Banglore,KARNATAKA,560072.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4954,404-4778849-6901128,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,,0,,,CHENNAI,TAMIL NADU,600001.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4955,402-3720513-5241954,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET243,SET243-KR-PP-L,Set,L,B08QGKX1L8,Cancelled,0,,,VASAI VIRAR,MAHARASHTRA,401203.0,IN,,False,,,null_currency; null_amount; 
4962,407-8413014-2561916,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET324,SET324-KR-NP-S,Set,S,B09NQ4CZ65,,0,,,Kunnamkulam,KERALA,680544.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4966,407-7913146-4273941,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-L,Set,L,B099NJKJ54,,0,,,VISAKHAPATNAM,ANDHRA PRADESH,530049.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4971,408-3747103-5122763,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET038,SET038-KR-PP-S,Set,S,B07SSGLKG3,,0,,,VARANASI,UTTAR PRADESH,221005.0,IN,,False,Easy Ship,,null_currency; null_amount; 
4972,406-6035915-6238754,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3613,JNE3613-KR-L,kurta,L,B08XVFSDR2,Cancelled,0,,,VIJAYAWADA,ANDHRA PRADESH,521137.0,IN,,False,,,null_currency; null_amount; 
4991,402-7559894-2901141,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,BL003,BL003-50BLACK,Blouse,Free,B077YWLPWJ,Cancelled,0,,,HYDERABAD,TELANGANA,500049.0,IN,,False,,,null_currency; null_amount; 
5035,408-3841690-9379534,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET110,SET110-KR-PP-M,Set,M,B0822TDMYH,Cancelled,0,,,MUMBAI,MAHARASHTRA,400059.0,IN,,False,,,null_currency; null_amount; 
5076,407-6528316-9878708,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXL,kurta,XXL,B082W8RWN1,Cancelled,0,,,Opposite to Sri mookambika Temple kollur,KARNATAKA,576220.0,IN,,False,,,null_currency; null_amount; 
5081,171-1324382-6910745,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-S,Set,S,B0894XGJ83,Cancelled,0,,,PANCHKULA,HARYANA,134113.0,IN,,False,,,null_currency; null_amount; 
5087,408-7080998-8561129,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-M,Set,M,B08XNJG8B1,Cancelled,0,,,VARANASI,UTTAR PRADESH,221002.0,IN,,False,,,null_currency; null_amount; 
5088,403-0277906-8032300,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-S,Set,S,B07X3KSDT3,Cancelled,0,,,ERANHOLI,KERALA,670649.0,IN,,False,,,null_currency; null_amount; 
5092,405-1821561-4065133,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET265,SET265-KR-NP-L,Set,L,B0983CRK42,Cancelled,0,,,BHUBANESWAR,ODISHA,751030.0,IN,,False,,,null_currency; null_amount; 
5096,403-4706195-3865948,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-S,Set,S,B07X3KSDT3,Cancelled,0,,,ERANHOLI,KERALA,670649.0,IN,,False,,,null_currency; null_amount; 
5110,405-7589306-0124350,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0094,J0094-KR-XXL,kurta,XXL,B089FZH54C,,0,,,AHMEDABAD,Gujarat,380054.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5122,403-3317362-6161948,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,Cancelled,0,,,SITAPUR,UTTAR PRADESH,261001.0,IN,,False,,,null_currency; null_amount; 
5128,406-1613176-6151511,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET363,SET363-KR-NP-M,Set,M,B09TH8L9PW,,0,,,NEW DELHI,DELHI,110062.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5161,406-9966630-0097917,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET324,SET324-KR-NP-L,Set,L,B09NQ44RNV,,0,,,HYDERABAD,TELANGANA,500018.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5166,406-7904006-2091502,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,Cancelled,0,,,GURGAON,HARYANA,122001.0,IN,,False,,,null_currency; null_amount; 
5167,403-4534592-1445149,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET345,SET345-KR-NP-L,Set,L,B09KXT4VG7,,0,,,HARDOI,UTTAR PRADESH,241001.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5182,406-1619202-3983549,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,SET366,SET366-KR-NP-XXL,Set,XXL,B09QJMSLD1,Cancelled,0,,,UDAIPUR,RAJASTHAN,313002.0,IN,,False,,,null_currency; null_amount; 
5184,407-8242002-2369166,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET324,SET324-KR-NP-M,Set,M,B09NQ4NM75,,0,,,VASAI VIRAR,MAHARASHTRA,401202.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5199,404-1867391-9578740,04-27-22,Cancelled,Merchant,Amazon.in,Standard,SET383,SET383-KR-NP-M,Set,M,B09K3CQ75T,,0,,,NEW DELHI,DELHI,110027.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5208,408-6780382-7137908,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3440,JNE3440-KR-N-XS,kurta,XS,B09HMY3YLT,Cancelled,0,,,PUDUCHERRY,PUDUCHERRY,605008.0,IN,,False,,,null_currency; null_amount; 
5247,403-7412815-0947506,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,Cancelled,0,,,SITAPUR,UTTAR PRADESH,261001.0,IN,,False,,,null_currency; null_amount; 
5281,402-3985513-9569952,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0280,J0280-SKD-XL,Set,XL,B08QGP2JMT,,0,,,SAWANTWADI,MAHARASHTRA,416510.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5287,408-9722989-5704362,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXL,kurta,XXL,B082W8RWN1,Cancelled,0,,,NELLORE,ANDHRA PRADESH,524002.0,IN,,False,,,null_currency; null_amount; 
5294,402-1493858-3058717,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0280,J0280-SKD-XL,Set,XL,B08QGP2JMT,,0,,,SAWANTWADI,MAHARASHTRA,416510.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5316,408-6836627-3324317,04-27-22,Cancelled,Amazon,Amazon.in,Standard,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,Cancelled,0,,,JODHPUR,RAJASTHAN,342010.0,IN,,False,,,null_currency; null_amount; 
5317,405-6580021-1336336,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3800,JNE3800-KR-L,Western Dress,L,B09SDXWNPZ,,0,,,HYDERABAD,TELANGANA,502319.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5318,407-6329132-8546724,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0003,J0003-SET-XS,Set,XS,B0894WW15B,,0,,,Amarpur,BIHAR,813101.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5380,403-7528022-3959500,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,Cancelled,0,,,SITAPUR,UTTAR PRADESH,261001.0,IN,,False,,,null_currency; null_amount; 
5424,408-4131018-2956324,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3515,JNE3515-KR-XXXL,kurta,3XL,B098126Y6Q,,0,,,ERNAKULAM,KERALA,682020.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5435,407-5071244-3510724,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3291,JNE3291-KR-L,kurta,L,B07R5X9WJB,Cancelled,0,,,HYDERABAD,TELANGANA,500084.0,IN,,False,,,null_currency; null_amount; 
5471,408-2965726-9652309,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0108,J0108-SKD-S,Set,S,B08V1MGSY7,,0,,,HYDERABAD,TELANGANA,500032.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5475,402-3622490-4569901,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3802,JNE3802-KR-S,kurta,S,B09K3TMQSK,Cancelled,0,,,MUMBAI,MAHARASHTRA,400082.0,IN,,False,,,null_currency; null_amount; 
5483,403-6112202-6543509,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3724,JNE3724-KR-XL,kurta,XL,B097ZZZ37J,Cancelled,0,,,SULUR,TAMIL NADU,641402.0,IN,,False,,,null_currency; null_amount; 
5513,407-2902939-0873962,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0096,J0096-KR-XL,kurta,XL,B089G2K69F,,0,,,NAKREKAL,TELANGANA,508211.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5533,404-3399769-2930732,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3773,JNE3773-KR-XXL,kurta,XXL,B09K3ZC16X,,0,,,MADURAI,TAMIL NADU,625003.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5564,171-8951279-3719543,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3716,JNE3716-KR-XXL,kurta,XXL,B099NPKT7D,Cancelled,0,,,PUDUCHERRY,PUDUCHERRY,605007.0,IN,,False,,,null_currency; null_amount; 
5598,405-7076608-2818704,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3568,JNE3568-KR-XS,kurta,XS,B08KRSK8BX,,0,,,NOIDA,UTTAR PRADESH,201305.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5623,404-0532692-8830738,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0108,J0108-SKD-M,Set,M,B08TZTCG89,,0,,,AGARTALA,TRIPURA,799006.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5641,404-6556218-5969139,04-27-22,Cancelled,Merchant,Amazon.in,Standard,J0108,J0108-SKD-M,Set,M,B08TZTCG89,,0,,,AGARTALA,TRIPURA,799001.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5648,407-0318180-4348320,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,J0012,J0012-SKD-XXL,Set,XXL,B0894X9LNS,Cancelled,0,,,THANE,MAHARASHTRA,400615.0,IN,,False,,,null_currency; null_amount; 
5655,407-8879857-0866763,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3818,JNE3818-KR-XL,kurta,XL,B09LTZSNG1,Cancelled,0,,,PANCHKULA,HARYANA,134109.0,IN,,False,,,null_currency; null_amount; 
5685,406-5657839-3158768,04-27-22,Cancelled,Merchant,Amazon.in,Standard,JNE3795,JNE3795-KR-XXXL,kurta,3XL,B09HMXJVFS,,0,,,MANDI,HIMACHAL PRADESH,175001.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5710,402-6489753-5537121,04-27-22,Cancelled,Amazon,Amazon.in,Expedited,MEN5017,MEN5017-KR-XL,kurta,XL,B08YYRFFGY,Cancelled,0,,,RAIKOT,PUNJAB,141109.0,IN,,False,,,null_currency; null_amount; 
5831,171-9224076-0363535,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3291,JNE3291-KR-XL,kurta,XL,B07R4XJNW3,Cancelled,0,,,KURNOOL,ANDHRA PRADESH,518001.0,IN,,False,,,null_currency; null_amount; 
5840,406-2896891-6613901,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2270,JNE2270-KR-487-A-XXL,kurta,XXL,B07H7DZXJ5,Cancelled,0,,,ALWARKURICHI,TAMIL NADU,627412.0,IN,,False,,,null_currency; null_amount; 
5879,404-5418140-9269906,04-26-22,Cancelled,Merchant,Amazon.in,Standard,JNE3870,JNE3870-DR-S,Western Dress,S,B09RK7FBWT,,0,,,CHENNAI,TAMIL NADU,600125.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5923,403-7667211-1502716,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3816,JNE3816-KR-XS,kurta,XS,B09Q3HX312,Cancelled,0,,,Pune,MAHARASHTRA,411006.0,IN,,False,,,null_currency; null_amount; 
5941,171-5127041-6179539,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,Cancelled,0,,,Barrackpore,WEST BENGAL,700120.0,IN,,False,,,null_currency; null_amount; 
5943,402-0198241-9321143,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-M,kurta,M,B082W84Q2J,Cancelled,0,,,GUNTUR,ANDHRA PRADESH,522001.0,IN,,False,,,null_currency; null_amount; 
5944,402-0198241-9321143,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-M,kurta,M,B099FB63Q6,Cancelled,0,,,GUNTUR,ANDHRA PRADESH,522001.0,IN,,False,,,null_currency; null_amount; 
5945,402-0198241-9321143,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,Cancelled,0,,,GUNTUR,ANDHRA PRADESH,522001.0,IN,,False,,,null_currency; null_amount; 
5949,404-8896570-2321937,04-26-22,Cancelled,Merchant,Amazon.in,Standard,SET184,SET184-KR-PP-L,Set,L,B08W9P5TV7,,0,,,MUMBAI,MAHARASHTRA,400050.0,IN,,False,Easy Ship,,null_currency; null_amount; 
5987,408-7230779-6915508,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0344,J0344-TP-S,Top,S,B0986XYSRW,Cancelled,0,,,SECUNDERABAD,TELANGANA,500056.0,IN,,False,,,null_currency; null_amount; 
6065,406-5795612-0859501,04-26-22,Cancelled,Merchant,Amazon.in,Standard,SET364,SET364-KR-NP-L,Set,L,B09QJ495SF,,0,,,BADLAPUR,MAHARASHTRA,421503.0,IN,,False,Easy Ship,,null_currency; null_amount; 
6075,408-4405876-4863520,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3735,JNE3735-KR-XS,kurta,XS,B09LTZLTBK,Cancelled,0,,,ZIRAKPUR,PUNJAB,160104.0,IN,,False,,,null_currency; null_amount; 
6164,404-9109256-6333169,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3691,JNE3691-TU-M,Top,M,B0986YS2YT,Cancelled,0,,,NOIDA,UTTAR PRADESH,201301.0,IN,,False,,,null_currency; null_amount; 
6165,408-2584858-2361167,04-26-22,Cancelled,Merchant,Amazon.in,Standard,SET044,SET044-KR-NP-M,Set,M,B07Q2RTSFB,,0,,,DARBHANGA,BIHAR,846005.0,IN,,False,Easy Ship,,null_currency; null_amount; 
6187,406-8670755-9729945,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XS,Western Dress,XS,B099NS55L1,Cancelled,0,,,CHITTOOR,ANDHRA PRADESH,517001.0,IN,,False,,,null_currency; null_amount; 
6188,404-7355422-8324345,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3461,JNE3461-KR-XL,kurta,XL,B08B3YPXKZ,Cancelled,0,,,CHENNAI,TAMIL NADU,600083.0,IN,,False,,,null_currency; null_amount; 
6189,404-3917881-5497140,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XL,kurta,XL,B099NMFGMJ,Cancelled,0,,,CHENNAI,TAMIL NADU,600083.0,IN,,False,,,null_currency; null_amount; 
6199,406-9976934-1753163,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3741,JNE3741-KR-S,kurta,S,B099NPFTLF,Cancelled,0,,,MANGALURU,KARNATAKA,575002.0,IN,,False,,,null_currency; null_amount; 
6209,408-4882521-0739521,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0335,J0335-DR-L,Western Dress,L,B09831T4CQ,Cancelled,0,,,JAIPUR,RAJASTHAN,302006.0,IN,,False,,,null_currency; null_amount; 
6218,408-7783115-6113147,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3468,JNE3468-KR-XXXL,kurta,3XL,B08RP4JJPD,Cancelled,0,,,NEW DELHI,DELHI,110046.0,IN,,False,,,null_currency; null_amount; 
6220,171-7656792-7921942,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0416,J0416-DR-XL,Western Dress,XL,B09TY14PVB,Cancelled,0,,,BENGALURU,KARNATAKA,560005.0,IN,,False,,,null_currency; null_amount; 
6223,402-7448444-9789118,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,SET243,SET243-KR-PP-L,Set,L,B08QGKX1L8,Cancelled,0,,,VASAI VIRAR,MAHARASHTRA,401203.0,IN,,False,,,null_currency; null_amount; 
6264,404-8428786-5711524,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3609,JNE3609-KR-XL,kurta,XL,B08W1RQ2GZ,Cancelled,0,,,KOLKATA,WEST BENGAL,700036.0,IN,,False,,,null_currency; null_amount; 
6296,404-5336399-6875556,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3609,JNE3609-KR-XL,kurta,XL,B08W1RQ2GZ,Cancelled,0,,,KOLKATA,WEST BENGAL,700036.0,IN,,False,,,null_currency; null_amount; 
6308,403-9423113-2492346,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XS,Set,XS,B08XQBXFPP,Cancelled,0,,,JHANSI,UTTAR PRADESH,284003.0,IN,,False,,,null_currency; null_amount; 
6309,407-0034071-3673966,04-26-22,Cancelled,Merchant,Amazon.in,Standard,SET227,SET227-KR-PP-A-XL,Set,XL,B08P1G6BB1,,0,,,MUMBAI,MAHARASHTRA,400049.0,IN,,False,Easy Ship,,null_currency; null_amount; 
6310,408-5506527-6409109,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,Cancelled,0,,,NAGROTA BAGWAN,HIMACHAL PRADESH,176047.0,IN,,False,,,null_currency; null_amount; 
6322,406-4648766-8705154,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0002,J0002-SKD-XL,Set,XL,B0894XKSM1,Cancelled,0,,,Rajgir,BIHAR,803116.0,IN,,False,,,null_currency; null_amount; 
6329,408-1016702-6436339,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XL,Set,XL,B08XQBF1G4,Cancelled,0,,,NAGROTA BAGWAN,HIMACHAL PRADESH,176047.0,IN,,False,,,null_currency; null_amount; 
6364,171-3020904-0994753,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0002,J0002-SKD-L,Set,L,B0894X3VKQ,Cancelled,0,,,BHIMAVARAM,ANDHRA PRADESH,534201.0,IN,,False,,,null_currency; null_amount; 
6379,403-2865161-0948358,04-26-22,Cancelled,Merchant,Amazon.in,Standard,JNE1998,JNE1998-KR-311-L,kurta,L,B074X9FDR3,,0,,,SIBSAGAR,ASSAM,785667.0,IN,,False,Easy Ship,,null_currency; null_amount; 
6394,405-5963977-9113901,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,Cancelled,0,,,GURUGRAM,HARYANA,122001.0,IN,,False,,,null_currency; null_amount; 
6398,408-1732655-2679541,04-26-22,Cancelled,Merchant,Amazon.in,Standard,JNE3822,JNE3822-KR-XXL,kurta,XXL,B09LV1SJKT,,0,,,BARHI,MADHYA PRADESH,483770.0,IN,,False,Easy Ship,,null_currency; null_amount; 
6406,408-3914490-3796349,04-26-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XL,kurta,XL,B099NMFGMJ,Cancelled,0,,,PAPPINIVATTOM,KERALA,680685.0,IN,,False,,,null_currency; null_amount; 
